customer_text,generated_reply,relevance,accuracy,tone,completeness,judge_reason,human_relevance,human_accuracy,human_tone,human_completeness
how often am I gonna use I.T over it? Please fix this to stop this useless autocorrection,We’d love to help! Can you DM us the device you’re using and the iOS version (Settings ▶ General ▶ About) so we can look into the autocorrect issue?,4,5,5,3,Asks for needed info but omits guidance on adjusting or disabling autocorrect in settings.,4,5,5,3
currently needing some help,Thanks for reaching out! How can we help you today? Please DM us with some details so we can assist you further.,1,4,4,1,The reply is generic and doesn't ask for the specific location of the incorrect time or gather needed details.,3,4,4,2
HELP! my iphone 5 updated last night and now it has a mind of it's own and randomly sends messages or tweets mid typing. What do I do. help apple iphone,"We’re sorry you’re seeing that! Can you try a force‑restart (press Home + Power until the Apple logo appears)? If it continues, let us know which iOS version you installed (Settings ▶ General ▶ About). We'll help you troubleshoot.",4,5,4,3,"Addresses issue and asks for iOS version, but lacks detailed questions about specific apps and deeper diagnosis.",3,4,4,2
My iPhone 8+ has been spontaneously dying and restarting ALL DAY LONG. Known issues?,We’re sorry to hear that. Can you let us know which iOS version you’re on (Settings → General → About) and if you’ve tried a force‑restart or updating the software? We’ll help you get it fixed.,3,4,4,3,Acknowledges issue but lacks full empathy and doesn't ask about prior troubleshooting steps.,4,4,4,3
why does wifi keep disconnecting on my iPhone 6s after latest update? Please fix asap,We’re sorry you’re having trouble. Can you DM us your iOS version and let us know if you’ve tried a quick restart or toggling Wi‑Fi off in Control Center? We’ll help get it back up.,5,5,5,5,"Addresses the issue, asks needed info, offers basic steps, and invites DM for further help.",5,5,5,4
"Instantly regretting my purchase. I'm exactly one month outside of my warranty and my ""worlds greatest headphones"" decided to stop working all together. Fantastic.","We’re sorry to hear that! Let’s see what we can do. Please DM us with the headphone model, purchase date, and your location so we can look into options for you.",3,5,4,2,Missing acknowledgment of warranty timing and eligibility review details.,4,4,4,2
"how do I download Facebook contact info to my iPhone in iOS 11? I used to be able to update contacts in iOS 10. I want to download the info from Facebook, not upload to them.","Great question! The Facebook contacts sync was removed in iOS 11, so it’s no longer available to download contacts directly. Let us know if you need help with another way to manage your contacts.",5,5,5,5,"It directly confirms removal, notes no replacement, and invites further help.",5,5,5,5
"What is the expected battery discharge of AirPods left in their case, with the case closed? I’ve lost 7% in 2.5 hours. Normal?",Happy to help! A sealed case typically loses only a few percent over several hours. DM us with your AirPods model and any recent usage details so we can look into it further.,3,3,4,2,"Provides a vague estimate and asks for more info, but lacks the expected discharge range and full answer.",3,3,4,2
This is bullshit. fix this bug please,We’re sorry you’re having trouble. Could you share which device and iOS version you’re using? A quick restart or checking for updates often helps. Let us know so we can dig deeper!,3,4,4,2,Missing confirmation of steps and doesn't fully address the bug request.,4,4,4,2
"Hello dear, I’m not able to see my mail contacts?! Kindly advice. iphone","Hi there! Let’s check your default contacts account. On your iPhone, go to Settings → Contacts and make sure iCloud (or the account you use for mail) is set as the Default Account. DM us if you need more help!",5,5,5,5,"It directly addresses the issue, gives correct steps, uses a friendly tone, and fully covers the suggested guidance.",5,5,5,5
