message,predicted_intent
Wassup with the letter i on our keyboards yo,keyboard_input_bug
I updated my itunes and now I can't upload pdfs to my ipad from my PC,file_transfer_issue
notification alerts are not mirrored in watch(v4).Working fine till Oct 08.all apps are configured to mirror iphone(v11 pb1),connectivity_issue
Hey my iPad is SOOOOOOOOOOOOOO FREAKING SLOOOW with iOS 10.0.3 let go back to is 10.,app_performance_issue
Come on this I️ thing is ridiculous. I️ would have thought you would figure this out by now.,keyboard_input_bug
"Deadass fix this 🛇 problem, you buggin out.",general_bug_other
Are all your physical stores oriented to working with reverse logistics?,general_bug_other
". your iOS 11 is buggy, sticky, and slow. How does your software keep getting worse?!? fail",app_performance_issue
my new phone literally spontaneously combusted the DAY iphone x came out........I Know What You Did,general_bug_other
"iPhone crashing constantly since last night. Temp. fix the bug by turning of notifications. Update to the latest software, and now Face ID doesn’t work. help!",app_performance_issue
"I keep getting spam texts, I've blocked the contact 4 times but it doesn't stop it... what do I do?",general_bug_other
Also can you freaking fix this I️ glitch omggggggg,general_bug_other
y’all need to fix that dumb ass update that got my phone freezing and moving slow,app_performance_issue
"you to chill with the ""install new update"" notification until you fix that little bug where ""I"" can't talk about myself.",keyboard_input_bug
"Oi what the fuck have you done to the battery on my iPhone? Since the new update, it’s shite. Love and kisses, me xx",battery_charging_issue
The iPod Touch 6th generation is now having the worst battery life. Like maybe for 30-45 mins after iOS 11. Please help,battery_charging_issue
But why tf can’t I play music from my phone in my car via USB anymore???🧐🧐 and why are my playlists not shuffling😩😩,file_transfer_issue
pull I️t together. iOS 11 is a text-glitch nightmare. Worst ever. Sad!,keyboard_input_bug
my iPhone 7 keeps acting like I’m clicking the home button 3 times when I press it what do I do?,general_bug_other
"Forgot how insanely frustrating iphone is when it comes to transferring files from PC to the phone: YOU CAN’T! No WiFi, no Bluetooth, no tethering means I have to upload via cell—but alas I cannot. Deadline blown.",file_transfer_issue
