tweet_id_customer,author_id_customer,inbound_customer,created_at_customer,text_customer,response_tweet_id_customer,in_response_to_tweet_id_customer,tweet_id_brand,author_id_brand,inbound_brand,created_at_brand,text_brand,response_tweet_id_brand,in_response_to_tweet_id_brand,customer_text_clean,brand_text_clean,cluster
1769984,532121,True,Wed Nov 08 00:03:23 +0000 2017,@AppleSupport I am not. Is there anything I can do from my iPhone? Or anything I should not do?,1769986,1769983,1769986,AppleSupport,False,Wed Nov 08 00:48:28 +0000 2017,@532121 Let's confirm a couple things on your iPhone. If you go to Settings &gt; Photos is iCloud Photo Library enabled?,1769987,1769984,I am not. Is there anything I can do from my iPhone? Or anything I should not do?,Let's confirm a couple things on your iPhone. If you go to Settings &gt; Photos is iCloud Photo Library enabled?,2
2709183,760783,True,Tue Nov 28 02:36:58 +0000 2017,"@AppleSupport I have upgraded to iOS 11.1.2, now taking screenshot and sharing takes a lot of time. Approx 3-5 mins https://t.co/Aa32cJALLo",2709185,2709182,2709185,AppleSupport,False,Tue Nov 28 02:45:14 +0000 2017,"@760783 Let's look into this for you. When was the update installed? Also, how much available storage do you currently have? Let us know in DM. https://t.co/GDrqU22YpT",,2709183,"I have upgraded to iOS 11.1.2, now taking screenshot and sharing takes a lot of time. Approx 3-5 mins","Let's look into this for you. When was the update installed? Also, how much available storage do you currently have? Let us know in DM.",1
155964,151805,True,Fri Nov 24 17:39:29 +0000 2017,@AppleSupport The check come up then they go away and it’s not downloaded,155966,155963,155966,AppleSupport,False,Fri Nov 24 18:10:00 +0000 2017,@151805 Have you tried a normal restart of the device? This simple step can resolve download issues like this. This article explains how to do a normal restart: https://t.co/OWRDHWSt4h,,155964,The check come up then they go away and it’s not downloaded,Have you tried a normal restart of the device? This simple step can resolve download issues like this. This article explains how to do a normal restart:,5
1386583,442637,True,Tue Oct 31 20:56:28 +0000 2017,@AppleSupport I have not restarted my device since noticing this In iMessage,1386585,1386582,1386585,AppleSupport,False,Tue Oct 31 21:02:00 +0000 2017,@442637 Please try to restart your device and the Messages app. DM us if you're still noticing the same thing happen after this. https://t.co/GDrqU22YpT,1386586,1386583,I have not restarted my device since noticing this In iMessage,Please try to restart your device and the Messages app. DM us if you're still noticing the same thing happen after this.,10
898829,674799,True,Fri Oct 20 00:28:14 +0000 2017,@AppleSupport My settings app closes while I try to turn on WIFI. (iPhone 7 Plus with iOS 11.0.3) https://t.co/O0xFpxwR0a,2330949,898809,2330949,AppleSupport,False,Fri Oct 20 01:03:00 +0000 2017,@674799 Does this issue persist after a restart? Here is how you can do that: https://t.co/OWRDHWSt4h,2330950,898829,My settings app closes while I try to turn on WIFI. (iPhone 7 Plus with iOS 11.0.3),Does this issue persist after a restart? Here is how you can do that:,4
92789,136099,True,Thu Nov 30 16:14:41 +0000 2017,@AppleSupport My gripe is not that I don’t know how to return items or anything like that. It is that the colour advertised is very different from the finished product.,92791,92788,92791,AppleSupport,False,Thu Nov 30 16:48:40 +0000 2017,@136099 Understood. Please provide feedback about this here:  https://t.co/eTPVYVFyd8,,92789,My gripe is not that I don’t know how to return items or anything like that. It is that the colour advertised is very different from the finished product.,Understood. Please provide feedback about this here:,5
1072705,312715,True,Mon Oct 23 16:45:10 +0000 2017,@AppleSupport My speaker phone hasn’t worked since the software update...,1072707,1072704,1072707,AppleSupport,False,Mon Oct 23 17:23:28 +0000 2017,@312715 Would you please join us in DM? We'd like to know more details about your speaker. https://t.co/GDrqU22YpT,,1072705,My speaker phone hasn’t worked since the software update...,Would you please join us in DM? We'd like to know more details about your speaker.,0
1536983,12504,True,Sat Nov 04 06:49:06 +0000 2017,"@AppleSupport No, none. The app simply crashes and I get sent back to the home screen.",1536985,1536982,1536985,AppleSupport,False,Sat Nov 04 15:42:00 +0000 2017,@12504 What steps have you tried so far to resolve this?,1536986,1536983,"No, none. The app simply crashes and I get sent back to the home screen.",What steps have you tried so far to resolve this?,9
1220467,406348,True,Sat Nov 25 19:30:38 +0000 2017,@AppleSupport I'm using my Mac's built-in reader. Other laptops can read my SD card and it works well.,1220469,1220466,1220469,AppleSupport,False,Sat Nov 25 19:45:29 +0000 2017,@406348 OK. Let's try removing the SD Card and restarting your Mac. Let us know the results in DM. https://t.co/GDrqU22YpT,,1220467,I'm using my Mac's built-in reader. Other laptops can read my SD card and it works well.,OK. Let's try removing the SD Card and restarting your Mac. Let us know the results in DM.,9
44604,125899,True,Wed Nov 01 16:22:48 +0000 2017,@AppleSupport I read it already. Signing out didn’t help either.,44606,44603,44606,AppleSupport,False,Wed Nov 01 17:04:00 +0000 2017,"@125899 Okay, thanks. Let's get to DM. https://t.co/GDrqU22YpT",,44604,I read it already. Signing out didn’t help either.,"Okay, thanks. Let's get to DM.",5
